date,protocol,chain,loss_usd,vector_category,is_technical,description,source_file
2025-10-04,GriffinAI,Other,3000000.0,LayerZero Peer Exploit / Bridge Money Printer,True,"Protocol: GriffinAI
Date: Oct 4, 2025
Loss: $3,000,000
Vector: LayerZero Peer Exploit / Bridge Money Printer
Scenario: Attacker minted 5 billion $GAIN tokens. 97.2% of loot remains in attacker's wallet.
Reference: https://rekt.news/griffinai-rekt/",rekt_news_extra.txt
2025-09-17,New Gold Protocol,Other,2000000.0,Price Oracle / Broken Transfer Logic,True,"Protocol: New Gold Protocol
Date: Sept 17, 2025
Loss: $2,000,000
Vector: Price Oracle / Broken Transfer Logic
Scenario: Flash loan exploit on price oracles and broken transfer logic shortly after launch.
Reference: https://rekt.news/newgold-protocol-rekt/",rekt_news_extra.txt
2025-09-15,Phemex,Other,73540000.0,Hot Wallet Access Control,True,"Protocol: Phemex
Date: Sept 15, 2025
Loss: $73,540,000
Vector: Hot Wallet Access Control
Scenario: Multi-chain hot wallet compromise led to absolute mayhem across dozens of chains.
Reference: https://rekt.news/phemex-rekt/",rekt_news_extra.txt
2025-09-13,Kame,Sei,18167.8,Arbitary External Call,True,src/test/2025-09/Kame_exp.sol,defihacklabs_incidents.json
2025-09-12,Shibarium,Other,3000000.0,Validator Control / Flash Loan BONE,True,"Protocol: Shibarium
Date: Sept 12, 2025
Loss: $3,000,000
Vector: Validator Control / Flash Loan BONE
Scenario: Attacker flash-loaned BONE to control 10 of 12 validators and signed fraudulent bridge checkpoints.
Reference: https://rekt.news/shibarium-rekt/",rekt_news_extra.txt
2025-09-08,SwissBorg,Other,41500000.0,Other,True,"SwissBorg BORG Solana Exchange (... Other $41,500,000 9.8.2025",rekt_database_raw.txt
2025-09-02,Bunni,Other,8400000.0,Other,True,"Bunni ETH +1 Exchange (... Other $8,400,000 9.2.2025",rekt_database_raw.txt
2025-09-02,Venus,Other,13000000.0,Phishing,True,"Venus BSC Borrowing ... Phishing $13,000,000 9.2.2025",rekt_database_raw.txt
2025-09-01,OlaXBT,Other,2000000.0,Access Control,True,"OlaXBT BSC Exchange (... Access Control $2,000,000 9.1.2025",rekt_database_raw.txt
2025-09-01,UXLink,Other,41000000.0,Admin Coup / Cross-chain Laundering,True,"Protocol: UXLink
Date: Sept 1, 2025
Loss: $41,000,000
Vector: Admin Coup / Cross-chain Laundering
Scenario: Admin coup followed by billions of UXLINK minted and laundered across chains.
Reference: https://rekt.news/uxlink-rekt/",rekt_news_extra.txt
2025-08-31,Hexotic,Ethereum,500.0,Incorrect Input Validation,True,src/test/2025-08/Hexotic_exp.sol,defihacklabs_incidents.json
2025-08-30,Cozy Finance,Other,427000.0,Access Control,True,"Cozy Finance Optimism Other Access Control $427,000 8.30.2025",rekt_database_raw.txt
2025-08-30,EverValueCoin,Unknown,100000.0,Arbitrage,True,src/test/2025-08/EverValueCoin,defihacklabs_incidents.json
2025-08-27,0xf340,Ethereum,4000.0,Access Control,True,src/test/2025-08/0xf340_exp.sol,defihacklabs_incidents.json
2025-08-26,BetterBank,Other,5000000.0,Other,True,"BetterBank ETH +1 Borrowing ... Other $5,000,000 8.26.2025",rekt_database_raw.txt
2025-08-23,ABCCApp,BSC,10100.0,Lack of Access Control,True,src/test/2025-08/ABCCApp_exp.sol,defihacklabs_incidents.json
2025-08-22,Phishing,Other,750000.0,Phishing,True,"Phishing ETH Other Phishing $750,000 8.22.2025",rekt_database_raw.txt
2025-08-20,The Idols NFT,Other,324000.0,Business Logic Flaw (Self-Transfer),True,"Protocol: The Idols NFT
Date: Aug 20, 2025
Loss: $324,000
Vector: Business Logic Flaw (Self-Transfer)
Scenario: Flaw in reflections allowed an attacker to drain rewards by setting sender and receiver to the same address.
Reference: https://rekt.news/theidolsnft-rekt/",rekt_news_extra.txt
2025-08-20,MulticallWithXera,BSC,17000.0,Access Control,True,src/test/2025-08/MulticallWithXera_exp.sol,defihacklabs_incidents.json
2025-08-20,0x8d2e,Base,40000.0,Access Control,True,src/test/2025-08/0x8d2e_exp.sol,defihacklabs_incidents.json
2025-08-19,Phishing,Other,91000000.0,Phishing,True,"Phishing BTC Other Phishing $91,000,000 8.19.2025",rekt_database_raw.txt
2025-08-16,d3xai,BSC,190.0,Price Manipulation,True,src/test/2025-08/d3xai_exp.sol,defihacklabs_incidents.json
2025-08-15,PDZ,BSC,3.3,Price Manipulation,True,src/test/2025-08/PDZ_exp.sol,defihacklabs_incidents.json
2025-08-15,SizeCredit,Ethereum,19700.0,Access Control,True,src/test/2025-08/SizeCredit_exp.sol,defihacklabs_incidents.json
2025-08-14,BtcTurk,Other,51700000.0,Private Key Breach,True,"Protocol: BtcTurk
Date: Aug 14, 2025
Loss: $51,700,000
Vector: Private Key Breach
Scenario: Repeat offender. Lost $55M in June 2024 to a key breach, now $51.7M gone again through similar means.
Reference: https://rekt.news/btcturk-rekt/",rekt_news_extra.txt
2025-08-13,YuliAI,BSC,78000.0,Price Manipulation,True,src/test/2025-08/YuliAI_exp.sol,defihacklabs_incidents.json
2025-08-13,coinbase,Ethereum,300000.0,Misconfiguration,True,src/test/2025-08/coinbase_exp.sol,defihacklabs_incidents.json
2025-08-13,Grizzifi,BSC,61000.0,Logic Flaw,True,src/test/2025-08/Grizzifi_exp.sol,defihacklabs_incidents.json
2025-08-12,Odin.fun,Other,7000000.0,Oracle Issue,True,"Odin.fun BTC Exchange (... Oracle Issue $7,000,000 8.12.2025",rekt_database_raw.txt
2025-08-12,Bebop,Arbitrum,21000.0,Arbitrary user input,True,src/test/2025-08/Bebop_dex_exp.sol,defihacklabs_incidents.json
2025-08-11,WXC,BSC,37.5,Incorrect token burn mechanism,True,src/test/2025-08/WXC_Token_exp.sol,defihacklabs_incidents.json
2025-08-06,Phishing,Other,3050000.0,Phishing,True,"Phishing ETH Other Phishing $3,050,000 8.6.2025",rekt_database_raw.txt
2025-08-04,CrediX,Other,4500000.0,Access Control,True,"CrediX Other Exchange (... Access Control $4,500,000 8.4.2025",rekt_database_raw.txt
2025-07-28,SuperRare,Other,730000.0,Access Control,True,"SuperRare ETH NFT Access Control $730,000 7.28.2025",rekt_database_raw.txt
2025-07-26,MulticallWithETH,BSC,10000.0,arbitrary-call,True,src/test/2025-07/MulticallWithETH_exp.sol,defihacklabs_incidents.json
2025-07-24,WOO X,Other,14000000.0,Phishing,True,"WOO X ETH +1 CeFi Phishing $14,000,000 7.24.2025",rekt_database_raw.txt
2025-07-24,SWAPPStaking,Ethereum,32196.28,Incorrect Reward calculation,True,src/test/2025-07/SWAPPStaking_exp.sol,defihacklabs_incidents.json
2025-07-23,Trusta AI,Other,615000.0,Other,True,"Trusta AI TA BSC Yield Aggr... Other $615,000 7.23.2025",rekt_database_raw.txt
2025-07-20,CoinDCX,Other,44300000.0,Coordinated Access Control Breach,True,"Protocol: CoinDCX
Date: July 20, 2025
Loss: $44,300,000
Vector: Coordinated Access Control Breach
Scenario: Massive $44M drain. Team stayed silent for 17 hours until forced to announce by external researchers.
Reference: https://rekt.news/coindcx-rekt/",rekt_news_extra.txt
2025-07-20,Stepp2p,BSC,43000.0,Logic Flaw,True,src/test/2025-07/Stepp2p_exp.sol,defihacklabs_incidents.json
2025-07-17,WETC,BSC,101000.0,Incorrect Burn Logic,True,src/test/2025-07/WETC_Token_exp.sol,defihacklabs_incidents.json
2025-07-16,BigONE,Other,28000000.0,Access Control,True,"BigONE CEX CeFi Access Control $28,000,000 7.16.2025",rekt_database_raw.txt
2025-07-16,VDS,BSC,13000.0,Logic Flaw,True,src/test/2025-07/VDS_exp.sol,defihacklabs_incidents.json
2025-07-15,ArcadiaFi,Other,3600000.0,Arbitrary Calls / Crafted swapData,True,"Protocol: ArcadiaFi
Date: July 15, 2025
Loss: $3,600,000
Vector: Arbitrary Calls / Crafted swapData
Scenario: Attacker used crafted swapData to trigger arbitrary calls through a trusted rebalancer contract.Drained funds during a pause cooldown.
Reference: https://rekt.news/arcadiafi-rekt/",rekt_news_extra.txt
2025-07-12,Pundi AI,Other,6000000.0,Access Control,True,"Pundi AI ETH +1 Other Access Control $6,000,000 7.12.2025",rekt_database_raw.txt
2025-07-09,GMX,Other,42000000.0,Other,True,"GMX Arbitrum Exchange (... Other $42,000,000 7.9.2025",rekt_database_raw.txt
2025-07-08,Peapods Finance,Other,200000.0,Other,True,"Peapods Finance ETH Yield Aggr... Other $200,000 7.8.2025",rekt_database_raw.txt
2025-07-05,Unverified,Ethereum,285700.0,Access Control,True,src/test/2025-07/unverified_54cd_exp.sol,defihacklabs_incidents.json
2025-07-05,RANT,BSC,204000.0,Logic Flaw,True,src/test/2025-07/RANTToken_exp.sol,defihacklabs_incidents.json
2025-07-02,FPC,BSC,4700000.0,Logic Flaw,True,src/test/2025-07/FPC_exp.sol,defihacklabs_incidents.json
2025-06-29,Stead,Arbitrum,14500.0,Access Control,True,src/test/2025-06/Stead_exp.sol,defihacklabs_incidents.json
2025-06-26,ResupplyFi,Other,9800000.0,Exchange Rate Manipulation (1 wei shares),True,"Protocol: ResupplyFi
Date: June 26, 2025
Loss: $9,800,000
Vector: Exchange Rate Manipulation (1 wei shares)
Scenario: Manipulated exchange rate to zero using a pocket change donation. Drained market using 1 wei of worthless shares as collateral.
Reference: https://rekt.news/resupplyfi-rekt/",rekt_news_extra.txt
2025-06-25,MEV Bots,Other,2000000.0,Access Control,True,"MEV Bots BSC Other Access Control $2,000,000 6.25.2025",rekt_database_raw.txt
2025-06-25,Silo,Other,545000.0,Other,True,"Silo ETH Yield Aggr... Other $545,000 6.25.2025",rekt_database_raw.txt
2025-06-25,Unverified_b5cb,BSC,2000000.0,Access Control,True,src/test/2025-06/unverified_b5cb_exp.sol,defihacklabs_incidents.json
2025-06-23,GradientMakerPool,Ethereum,5000.0,Price Oracle Manipulation,True,src/test/2025-06/GradientMakerPool_exp.sol,defihacklabs_incidents.json
2025-06-21,Hacken,Other,250000.0,Access Control,True,"Hacken BSC Other Access Control $250,000 6.21.2025",rekt_database_raw.txt
2025-06-20,Gangsterfinance,BSC,16500.0,Incorrect dividends,True,src/test/2025-06/Gangsterfinance_exp.sol,defihacklabs_incidents.json
2025-06-19,Bankroll,Other,65000.0,Other,True,"Bankroll ETH +1 Yield Aggr... Other $65,000 6.19.2025",rekt_database_raw.txt
2025-06-18,Nobitex,Other,82000000.0,Access Control,True,"Nobitex CEX CeFi Access Control $82,000,000 6.18.2025",rekt_database_raw.txt
2025-06-17,MetaPool,Other,400000.0,Other,True,"MetaPool ETH Other Other $400,000 6.17.2025",rekt_database_raw.txt
2025-06-12,AAVEBoost,Ethereum,14800.0,Logic Flaw,True,src/test/2025-06/AAVEBoost_exp.sol,defihacklabs_incidents.json
2025-06-10,Anome,Other,120000.0,Other,True,"Anome ETH Gaming / M... Other $120,000 6.10.2025",rekt_database_raw.txt
2025-06-10,Unverified_8490,BSC,48300.0,Access Control,True,src/test/2025-06/unverified_8490_exp.sol,defihacklabs_incidents.json
2025-06-06,AlexLab,Other,16100000.0,Other,True,"AlexLab BTC Borrowing ... Other $16,100,000 6.6.2025",rekt_database_raw.txt
2025-06-02,Nervos Network,Other,3700000.0,Access Control,True,"Nervos Network Other Other Access Control $3,700,000 6.2.2025",rekt_database_raw.txt
2025-06-02,Tailverse,Other,88000.0,Other,True,"Tailverse BSC Gaming / M... Other $88,000 6.2.2025",rekt_database_raw.txt
2025-06-02,Force Bridge,Other,3760000.0,Admin Key Timing / Control,True,"Protocol: Force Bridge
Date: June 2, 2025
Loss: $3,760,000
Vector: Admin Key Timing / Control
Scenario: Attack happened day after announcing its own funeral. Control-based exploit rather than a bug.
Reference: https://rekt.news/force-bridge-rekt/",rekt_news_extra.txt
2025-05-30,Malda (prev. Me...,Other,273000.0,Other,True,"Malda (prev. Me... Linea Borrowing ... Other $273,000 5.30.2025",rekt_database_raw.txt
2025-05-28,Cork,Other,12000000.0,Other,True,"Cork ETH Yield Aggr... Other $12,000,000 5.28.2025",rekt_database_raw.txt
2025-05-28,Cork Protocol,Other,12000000.0,Counterfeit Contracts / Fake Tokens,True,"Protocol: Cork Protocol
Date: May 28, 2025
Loss: $12,000,000
Vector: Counterfeit Contracts / Fake Tokens
Scenario: Built to hedge depeg risk, but depegged from reality by trusting fake token contracts.
Reference: https://rekt.news/cork-protocol-rekt/",rekt_news_extra.txt
2025-05-27,Usual,Other,43000.0,Other,True,"Usual ETH Other Other $43,000 5.27.2025",rekt_database_raw.txt
2025-05-26,Dexodus,Other,300000.0,Oracle Issue,True,"Dexodus Base Exchange (... Oracle Issue $300,000 5.26.2025",rekt_database_raw.txt
2025-05-26,YDT,BSC,41000.0,Logic Flaw,True,src/test/2025-05/YDTtoken_exp.sol,defihacklabs_incidents.json
2025-05-24,RICE,Base,88100.0,Lack of Access Control,True,src/test/2025-05/RICE_exp.sol,defihacklabs_incidents.json
2025-05-22,Cetus,Other,260000000.0,Other,True,"Cetus Other Exchange (... Other $260,000,000 5.22.2025",rekt_database_raw.txt
2025-05-20,IRYSAI,BSC,69600.0,rug pull,True,src/test/2025-05/IRYSAI_exp.sol,defihacklabs_incidents.json
2025-05-18,KRC,BSC,7000.0,deflationary token,True,src/test/2025-05/KRCToken_pair_exp.sol,defihacklabs_incidents.json
2025-05-16,Nitron Demex,Other,950000.0,Oracle Issue,True,"Nitron Demex Arbitrum +1 Borrowing ... Oracle Issue $950,000 5.16.2025",rekt_database_raw.txt
2025-05-15,Zunami,Other,500000.0,Access Control,True,"Zunami ETH Yield Aggr... Access Control $500,000 5.15.2025",rekt_database_raw.txt
2025-05-15,LNDFi,Other,1180000.0,Admin Key Leak / Backdoor,True,"Protocol: LNDFi
Date: May 15, 2025
Loss: $1,180,000
Vector: Admin Key Leak / Backdoor
Scenario: Quiet backdoor in contracts enabled after admin keys were leaked. Blamed North Korea.
Reference: https://rekt.news/LNDFi-rekt/",rekt_news_extra.txt
2025-05-14,Unwarp,Base,9000.0,lack-of-access-control,True,src/test/2025-05/Unwarp_exp.sol,defihacklabs_incidents.json
2025-05-11,Mobius Token,Other,2160000.0,Other,True,"Mobius Token BSC Token Other $2,160,000 5.11.2025",rekt_database_raw.txt
2025-05-11,MBUToken,BSC,2160000.0,Price Manipulation not confirmed,True,src/test/2025-05/MBUToken_exp.sol,defihacklabs_incidents.json
2025-05-09,Nalakuvara_LotteryTicket50,Base,105500.0,Price Manipulation,True,src/test/2025-05/Nalakuvara_LotteryTicket50_exp.sol,defihacklabs_incidents.json
2025-05-08,BitoPro BitoGro...,Other,11500000.0,Access Control,True,"BitoPro BitoGro... CEX CeFi Access Control $11,500,000 5.8.2025",rekt_database_raw.txt
2025-04-28,Phishing,Other,330000000.0,Phishing,True,"Phishing BTC Other Phishing $330,000,000 4.28.2025",rekt_database_raw.txt
2025-04-28,Impermax,Other,300000.0,Other,True,"Impermax Base Yield Aggr... Other $300,000 4.28.2025",rekt_database_raw.txt
2025-04-26,Loopscale,Other,5800000.0,Other,True,"Loopscale Solana Borrowing ... Other $5,800,000 4.26.2025",rekt_database_raw.txt
2025-04-26,Lifeprotocol,BSC,15114.0,Price Manipulation,True,src/test/2025-04/Lifeprotocol_exp.sol,defihacklabs_incidents.json
2025-04-26,ImpermaxV3,Base,300000.0,Flashloan,True,src/test/2025-04/ImpermaxV3_exp.sol,defihacklabs_incidents.json
2025-04-23,ACB,Other,60000.0,Other,True,"ACB BSC Token Other $60,000 4.23.2025",rekt_database_raw.txt
2025-04-22,BTCM App,Other,1000000.0,Other,True,"BTCM App Arbitrum Other Other $1,000,000 4.22.2025",rekt_database_raw.txt
2025-04-18,NumaMoney,Other,506000.0,Flash Loan Attack,True,"NumaMoney Arbitrum Other Flash Loan Attack $506,000 4.18.2025",rekt_database_raw.txt
2025-04-18,BTNFT,BSC,19025.919331278623,Slippage,True,src/test/2025-04/BTNFT_exp.sol,defihacklabs_incidents.json
2025-04-16,The R0AR,Other,790000.0,Access Control,True,"The R0AR ETH Other Access Control $790,000 4.16.2025",rekt_database_raw.txt
2025-04-16,YVToken,BSC,15261.68,Slippage,True,src/test/2025-04/YBToken_exp.sol,defihacklabs_incidents.json
2025-04-15,ZKsync,Other,5000000.0,Access Control,True,"ZKsync zkSync Other Access Control $5,000,000 4.15.2025",rekt_database_raw.txt
2025-04-14,KiloEx,Other,7500000.0,Signature Verification Failure,True,"Protocol: KiloEx
Date: April 14, 2025
Loss: $7,500,000
Vector: Signature Verification Failure
Scenario: MinimalForwarder contract accepted any forged signature without verification. Multi-chain attack hit Base, BNB, opBNB, Taiko, and Manta.
Reference: https://rekt.news/kiloex-rekt/",rekt_news_extra.txt
2025-04-13,Mantra,Other,5500000000.0,Other,True,"Mantra Other Other Other $5,500,000,000 4.13.2025",rekt_database_raw.txt
2025-04-04,AIRWA,Other,34000.0,Other,True,"AIRWA BSC Token Other $34,000 4.4.2025",rekt_database_raw.txt
2025-04-01,UPCX,Other,70000000.0,Access Control,True,"UPCX ETH Other Access Control $70,000,000 4.1.2025",rekt_database_raw.txt
2025-03-30,SIR,Other,355000.0,Other,True,"SIR ETH Exchange (... Other $355,000 3.30.2025",rekt_database_raw.txt
2025-03-30,SIR Trading,Other,355000.0,Transient Storage Collision,True,"Protocol: SIR Trading
Date: March 30, 2025
Loss: $355,000
Vector: Transient Storage Collision
Scenario: Flawless mathematical heist using a transient storage collision. Bypassed security checks via a vanity address.
Reference: https://rekt.news/sirtrading-rekt/",rekt_news_extra.txt
2025-03-30,LeverageSIR,Ethereum,353800.0,Storage Collision,True,src/test/2025-03/LeverageSIR_exp.sol,defihacklabs_incidents.json
2025-03-28,Vicuna,Other,700000.0,Oracle Issue,True,"Vicuna Other Borrowing ... Oracle Issue $700,000 3.28.2025",rekt_database_raw.txt
2025-03-28,Alkimiya_IO,Ethereum,95500.0,Precision Loss,True,src/test/2025-03/Alkimiya_io_exp.sol,defihacklabs_incidents.json
2025-03-25,Abracadabra,Other,13000000.0,Other,True,"Abracadabra Arbitrum Exchange (... +1 Other $13,000,000 3.25.2025",rekt_database_raw.txt
2025-03-21,Zoth,Other,8400000.0,Admin Key Theft / Malicious Upgrade,True,"Protocol: Zoth
Date: March 21, 2025
Loss: $8,400,000
Vector: Admin Key Theft / Malicious Upgrade
Scenario: Second hack in 3 weeks. Malicious contract upgrade enabled after keys were stolen.
Reference: https://rekt.news/zoth-rekt/",rekt_news_extra.txt
2025-03-20,BBX Token,Other,12000.0,Other,True,"BBX Token BSC Token Other $12,000 3.20.2025",rekt_database_raw.txt
2025-03-18,DCFToken,BSC,442000.0,Slippage,True,src/test/2025-03/DCFToken_exp.sol,defihacklabs_incidents.json
2025-03-17,Arcade,Other,5000.0,Access Control,True,"Arcade ARC BSC Token Access Control $5,000 3.17.2025",rekt_database_raw.txt
2025-03-16,wKeyDAO,BSC,737.0,Access Control,True,src/test/2025-03/wKeyDAO_exp.sol,defihacklabs_incidents.json
2025-03-15,WebKeyDao,Other,737000.0,Other,True,"WebKeyDao BSC Other Other $737,000 3.15.2025",rekt_database_raw.txt
2025-03-15,Berally,Other,90000.0,Access Control,True,"Berally Other Other Access Control $90,000 3.15.2025",rekt_database_raw.txt
2025-03-14,H2O,BSC,22470.0,Weak RNG,True,src/test/2025-03/H2O_exp.sol,defihacklabs_incidents.json
2025-03-13,MAID,Other,166000.0,Access Control,True,"MAID ETH Token Access Control $166,000 3.13.2025",rekt_database_raw.txt
2025-03-12,Phishing,Other,1820000.0,Phishing,True,"Phishing ETH Other Phishing $1,820,000 3.12.2025",rekt_database_raw.txt
2025-03-10,ModelpiToken,Other,107000.0,Other,True,"ModelpiToken BSC Token Other $107,000 3.10.2025",rekt_database_raw.txt
2025-03-06,1Inch,Other,2600000.0,Reentrancy,True,"1Inch ETH Exchange (... Reentrancy $2,600,000 3.6.2025",rekt_database_raw.txt
2025-03-05,1inch,Other,5000000.0,Integer Underflow,True,"Protocol: 1inch
Date: March 5, 2025
Loss: $5,000,000
Vector: Integer Underflow
Scenario: Resolver contracts transformed into an ATM via an integer underflow exploit with a negative 512 value.
Reference: https://rekt.news/1inch-rekt/",rekt_news_extra.txt
2025-03-01,Zoth,Other,285000.0,Oracle Issue,True,"Zoth ETH Other Oracle Issue $285,000 3.1.2025",rekt_database_raw.txt
2025-02-27,Suji Yan,Other,4000000.0,Phishing,True,"Suji Yan ETH Other Phishing $4,000,000 2.27.2025",rekt_database_raw.txt
2025-02-24,Infini,Other,50000000.0,Access Control,True,"Infini ETH Stablecoin Access Control $50,000,000 2.24.2025",rekt_database_raw.txt
2025-02-23,HegicOptions,Ethereum,104000000.0,Logic Flaw,True,src/test/2025-02/HegicOptions_exp.sol,defihacklabs_incidents.json
2025-02-21,StepHeroNFTs,Other,90000.0,Reentrancy,True,"StepHeroNFTs BSC NFT Reentrancy $90,000 2.21.2025",rekt_database_raw.txt
2025-02-21,Bybit,Ethereum,1500000000.0,Social Engineering,True,src/test/2025-02/Bybit_exp.sol,defihacklabs_incidents.json
2025-02-20,ByBit,Other,1430000000.0,Blind Signing / Social Engineering (Lazarus),True,"Protocol: ByBit
Date: Feb 20, 2025
Loss: $1,430,000,000
Vector: Blind Signing / Social Engineering (Lazarus)
Scenario: Largest heist on Rekt leaderboard. Multisig signers saw legitimate transactions while signing away keys.
Reference: https://rekt.news/bybit-rekt/",rekt_news_extra.txt
2025-02-16,LIBRA,Other,286000000.0,Other,True,"LIBRA LIBRA Solana Token Other $286,000,000 2.16.2025",rekt_database_raw.txt
2025-02-15,Ionic Money (formerly Midas),Other,6900000.0,Counterfeit Collateral / Social Engineering,True,"Protocol: Ionic Money (formerly Midas)
Date: Feb 15, 2025
Loss: $6,900,000
Vector: Counterfeit Collateral / Social Engineering
Scenario: Accepted fake LBTC as collateral. Exploited 3 times (twice as Midas).
Reference: https://rekt.news/ionic-money-rekt/",rekt_news_extra.txt
2025-02-12,zkLend,Other,9570000.0,Rounding Error,True,"Protocol: zkLend
Date: Feb 12, 2025
Loss: $9,570,000
Vector: Rounding Error
Scenario: Rounding error bled $9.57M from Starknet vaults. Attacker ignored Valentine's Day bounty.
Reference: https://rekt.news/zklend-rekt/",rekt_news_extra.txt
2025-02-11,OpenOcean,Other,22000.0,Other,True,"OpenOcean Base Exchange (... Other $22,000 2.11.2025",rekt_database_raw.txt
2025-02-11,Four.Meme,Other,183000.0,Other,True,"Four.Meme BSC Gaming / M... Other $183,000 2.11.2025",rekt_database_raw.txt
2025-02-11,FourMeme,BSC,186000.0,Logic Flaw,True,src/test/2025-02/FourMeme_exp.sol,defihacklabs_incidents.json
2025-02-08,Peapods Finance,Other,3500.0,Other,True,"Peapods Finance ETH Yield Aggr... Other $3,500 2.8.2025",rekt_database_raw.txt
2025-02-04,Ionic,Other,12300000.0,Other,True,"Ionic Other Exchange (... Other $12,300,000 2.4.2025",rekt_database_raw.txt
2025-01-29,phishing,Other,394000.0,Phishing,True,"phishing ETH Token Phishing $394,000 1.29.2025",rekt_database_raw.txt
2025-01-23,Phemex,Other,37000000.0,Other,True,"Phemex ETH +3 CeFi Other $37,000,000 1.23.2025",rekt_database_raw.txt
2025-01-23,ODOS,Base,50000.0,Signature Verification,True,src/test/2025-01/ODOS_exp.sol,defihacklabs_incidents.json
2025-01-21,Fake LAYER,Other,465000.0,Rugpull,False,"Fake LAYER Solana Token Rugpull $465,000 1.21.2025",rekt_database_raw.txt
2025-01-21,AST Token,Other,64700.0,Other,True,"AST Token BSC Token Other $64,700 1.21.2025",rekt_database_raw.txt
